cluster_name,no_bcg_cand,BCG1_desi-ls_ra,BCG1_desi-ls_dec,BCG2_desi-ls_ra,BCG2_desi-ls_dec,BCG3_desi-ls_ra,BCG3_desi-ls_dec,BCG4_desi-ls_ra,BCG4_desi-ls_dec,BCG1_lovoccs_ra,BCG1_lovoccs_dec,BCG2_lovoccs_ra,BCG2_lovoccs_dec
LoVoCCS-1,False,227.73382431812692,5.744882647179049,,,,,,,,,,
LoVoCCS-2,False,,,,,,,,,44.74083556768958,13.582646458006664,,
LoVoCCS-4A,False,10.460194006862237,-9.302870864483454,,,,,,,,,,
LoVoCCS-4B,False,10.429047870622163,-9.439316644223515,,,,,,,,,,
LoVoCCS-5,False,303.1133381425314,-56.82649960849514,302.7103462108143,-56.673695343473405,303.5066701564067,-57.02756777127723,303.49406999719747,-57.03922646590413,,,,
LoVoCCS-7,False,330.47038241610807,-59.94521423882543,,,,,,,,,,
LoVoCCS-9,False,67.80296109083014,-61.45362628522267,67.41420568393474,-61.176134278703145,,,,,,,,
LoVoCCS-10,False,194.84351195963453,-4.196001919026248,,,,,,,,,,
LoVoCCS-11,False,137.13444796209464,-9.629779742823985,137.32953229281193,-9.698834567318036,,,,,,,,
LoVoCCS-12,False,206.8677832018044,-32.8649488470276,,,,,,,,,,
LoVoCCS-13,False,49.4903891989469,-44.237779771997054,49.325045576188,-44.35621513814465,,,,,,,,
LoVoCCS-14,False,,,,,,,,,44.47099843044986,13.03100120404853,44.53583800595878,13.072943749650884
LoVoCCS-15,False,351.3319424460085,-12.124179705675356,,,,,,,,,,
LoVoCCS-18,False,194.67272624031713,-1.7614785922879168,,,,,,,,,,
LoVoCCS-21,False,201.98665904450655,-31.495456137394424,201.8732412486323,-31.389798411415608,,,,,,,,
LoVoCCS-22,False,308.68898459144987,-35.82392050072484,308.6857501964456,-35.817261730170536,308.6963591679767,-35.96771560527082,,,,,,
LoVoCCS-24,False,342.4918074784237,-64.42943689652814,342.2697483917055,-64.3426680771718,,,,,,,,
LoVoCCS-26,False,333.6315102520609,-10.373722528711127,,,,,,,,,,
LoVoCCS-27,False,55.72066152969949,-53.63092209657526,55.75163381173119,-53.63789889596345,55.87330001752071,-53.691859103380416,,,,,,
LoVoCCS-28,False,184.421060532773,3.655862593619028,184.4720998151567,3.695284116280017,184.38064410480948,3.6154243343221686,,,,,,
LoVoCCS-29,False,10.536788221537607,-28.535509851918473,,,,,,,,,,
LoVoCCS-30,False,139.52313252558943,-12.09499637612911,139.6138295257378,-12.373197921560772,,,,,,,,
LoVoCCS-31,False,332.57819243442844,-12.170509134946922,332.5859708127869,-12.154738021138687,,,,,,,,
LoVoCCS-33,False,172.5991711586954,-14.58119333405304,172.5757689121568,-14.555851446470822,,,,,,,,
LoVoCCS-35,False,341.56256799652516,-52.72048790570245,,,,,,,,,,
LoVoCCS-39,False,229.69008105903737,6.232464888192214,229.68703776591832,6.274210862727626,229.66877941281624,6.23851460734537,229.6339949938122,6.400208659106014,,,,
LoVoCCS-41A,False,202.7107858370151,-1.861470137215394,,,,,,,,,,
LoVoCCS-41B,False,202.7955566136317,-1.7282516646222583,,,,,,,,,,
LoVoCCS-41C,False,202.5426751664046,-2.105262780595413,202.54565316122552,-2.1033449559776183,,,,,,,,
LoVoCCS-42,False,328.51622732437664,-57.86771128224116,328.54707482252206,-57.84449166793555,,,,,,,,
LoVoCCS-45,False,26.239708444681128,-53.01978478192485,26.264258899489757,-53.02310496348925,,,,,,,,
LoVoCCS-46A,False,335.98720577979316,-1.583156069757645,,,,,,,,,,
LoVoCCS-46B,False,336.05687436591654,-1.5287799613873838,,,,,,,,,,
LoVoCCS-46C,False,335.9488952386087,-1.6500993704445572,,,,,,,,,,
LoVoCCS-48A,False,194.29790786131804,-17.409321755299853,,,,,,,,,,
LoVoCCS-48B,False,194.45513207142412,-17.273244303569875,,,,,,,,,,
LoVoCCS-49,False,175.35033070348223,-12.27691416801776,,,,,,,,,,
LoVoCCS-51,False,334.5024742139797,-65.18095591888668,,,,,,,,,,
LoVoCCS-55,False,183.863735275824,-39.03234178768352,183.9456601865677,-38.92665636872408,183.89691972701596,-38.86627669846781,183.8426319369408,-38.94378110631457,,,,
LoVoCCS-58,False,323.56696598432006,-13.429789298949023,323.6767262038523,-13.390934828029804,323.56526212918465,-13.424526233044658,,,,,,
LoVoCCS-60A,False,334.5330026222069,-3.8345080414463704,334.5710354079482,-3.822554074609864,,,,,,,,
LoVoCCS-60B,False,334.6678856786194,-3.779661844172644,,,,,,,,,,
LoVoCCS-61,False,336.5329553237544,17.356523766338793,336.5087358721829,17.37987718660752,,,,,,,,
LoVoCCS-63,False,229.074530968548,0.0894737140888492,,,,,,,,,,
LoVoCCS-65,False,201.7031577753722,-27.14343025297829,,,,,,,,,,
LoVoCCS-66A,False,328.0913572630173,-19.54651758426661,,,,,,,,,,
LoVoCCS-66B,False,328.0396506754034,-19.722748388643655,,,,,,,,,,
LoVoCCS-67,False,359.2530412648334,-34.758932853925195,,,,,,,,,,
LoVoCCS-74,False,332.3396041878085,-51.806934814695985,,,,,,,,,,
LoVoCCS-75,False,346.80805232742966,-15.224016676373648,,,,,,,,,,
LoVoCCS-76,False,348.25541459144,-21.634168534259288,,,,,,,,,,
LoVoCCS-80,False,52.14959201813518,-55.71215165100752,52.12789660808771,-55.70442640741986,,,,,,,,
LoVoCCS-85,False,12.345200867710252,-29.520028038303625,,,,,,,,,,
LoVoCCS-89,False,348.0829297784835,-21.502158806226003,,,,,,,,,,
LoVoCCS-90,False,227.86033761246367,6.349367451266338,,,,,,,,,,
LoVoCCS-93A,False,96.9008758934591,-54.44901725483217,,,,,,,,,,
LoVoCCS-93B,False,96.70626489293548,-54.542699281863456,,,,,,,,,,
LoVoCCS-94,False,191.15057747566064,-11.99382652920578,,,,,,,,,,
LoVoCCS-98,False,358.55681816460003,-10.419083937846176,,,,,,,,,,
LoVoCCS-99,False,194.34129095372452,-30.36324856385345,,,,,,,,,,
LoVoCCS-108,False,174.84784867083596,-33.44660219809668,174.8519381493743,-33.44560384216967,,,,,,,,
LoVoCCS-119,False,125.25956158326832,7.863083574835411,,,,,,,,,,
LoVoCCS-121,False,52.46058800316072,-52.57959118190672,,,,,,,,,,
LoVoCCS-122,False,156.99440445869843,-6.798922195930826,,,,,,,,,,
LoVoCCS-123,False,193.67102849499608,-29.227460394234715,,,,,,,,,,
LoVoCCS-131,False,137.64958932724954,-10.582130188280228,137.7414753448697,-10.56428323417314,,,,,,,,
LoVoCCS-134,False,329.6063198739947,-60.39119323630723,329.6084207690815,-60.426072593164434,329.5389993209124,-60.2451036660145,,,,,,
